编号,名称,规格,单位,单价,含量,主材标记,材料号,材料类别,是否有明细,,,
1B-12,铁钉<φ5,,kg,0.034,0.034,,,2,,,,
1B-12,其他材料,,%,3,3,,,2,,,,
1B-12,交流电焊机21kV·A,,台班,0.1,0.1,,,3,,,,
1B-12,叉式装载机装载质量5t,,台班,0.2,0.2,,,3,,,,
1B-12,汽车式起重机提升质量8t,,台班,0.2,0.2,,,3,,,,
1B-13,综合用工二类,,工日,8.468,9.453,,,1,,,,
1B-13,木板,,m3,0.015,0.02,,,2,,,,
1B-13,道木,,m3,0.03,0.04,,,2,,,,
1B-13,水泥32.5,,kg,173,207,,,2,,,,
1B-13,砂子,,m3,0.294,0.352,,,2,,,,
1B-13,碎石,,m3,0.321,0.383,,,2,,,,
1B-13,塑料布,,kg,1.68,1.68,,,2,,,,
1B-13,聚酯乙烯泡沫塑料,,kg,0.143,0.143,,,2,,,,
1B-13,电焊条结422Φ4,,kg,0.242,0.242,,,2,,,,
1B-13,铅油,,kg,0.05,0.05,,,2,,,,
1B-13,白漆,,kg,0.08,0.08,,,2,,,,
1B-13,煤油,,kg,3.32,3.45,,,2,,,,
1B-13,柴油,,kg,31.08,43.62,,,2,,,,
1B-13,机油综合,,kg,0.586,0.606,,,2,,,,
1B-13,黄油钙基脂,,kg,0.202,0.202,,,2,,,,
1B-13,镀锌铁丝8#~12#,,kg,2,3,,,2,,,,
1B-13,水,,m3,3.06,3.67,,,2,,,,
1B-13,平垫铁Q195~Q2351#,,kg,4.064,4.064,,,2,,,,
1B-13,斜垫铁Q195~Q235#1,,kg,4.176,4.176,,,2,,,,
1B-13,棉纱头,,kg,0.56,0.57,,,2,,,,
1B-13,白布,,m,0.27,0.31,,,2,,,,
1B-13,破布一级,,kg,0.77,0.83,,,2,,,,
1B-13,草袋,,条,1.5,2,,,2,,,,
1B-13,铁钉<φ5,,kg,0.034,0.04,,,2,,,,
1B-13,其他材料,,%,3,3,,,2,,,,
1B-13,交流电焊机21kV·A,,台班,0.1,0.1,,,3,,,,
1B-13,叉式装载机装载质量5t,,台班,0.2,0.3,,,3,,,,
1B-13,汽车式起重机提升质量8t,,台班,0.2,0.3,,,3,,,,
1B-14,综合用工二类,,工日,8.468,12.222,,,1,,,,
1B-14,木板,,m3,0.015,0.025,,,2,,,,
1B-14,道木,,m3,0.03,0.04,,,2,,,,
1B-14,水泥32.5,,kg,173,274,,,2,,,,
1B-14,砂子,,m3,0.294,0.464,,,2,,,,
1B-14,碎石,,m3,0.321,0.508,,,2,,,,
1B-14,塑料布,,kg,1.68,2.79,,,2,,,,
1B-14,聚酯乙烯泡沫塑料,,kg,0.143,0.154,,,2,,,,
1B-14,电焊条结422Φ4,,kg,0.242,0.326,,,2,,,,
1B-14,铅油,,kg,0.05,0.05,,,2,,,,
1B-14,白漆,,kg,0.08,0.1,,,2,,,,
1B-14,煤油,,kg,3.32,3.7,,,2,,,,
1B-14,柴油,,kg,31.08,45.6,,,2,,,,
1B-14,机油综合,,kg,0.586,0.646,,,2,,,,
1B-14,黄油钙基脂,,kg,0.202,0.202,,,2,,,,
1B-14,镀锌铁丝8#~12#,,kg,2,3,,,2,,,,
1B-14,水,,m3,3.06,4.85,,,2,,,,
1B-14,平垫铁Q195~Q2351#,,kg,4.064,5.08,,,2,,,,
1B-14,斜垫铁Q195~Q235#1,,kg,4.176,5.22,,,2,,,,
1B-14,棉纱头,,kg,0.56,0.73,,,2,,,,
1B-14,白布,,m,0.27,0.39,,,2,,,,
1B-14,破布一级,,kg,0.77,0.95,,,2,,,,
1B-14,草袋,,条,1.5,2.5,,,2,,,,
1B-14,铁钉<φ5,,kg,0.034,0.054,,,2,,,,
1B-14,其他材料,,%,3,3,,,2,,,,
1B-14,交流电焊机21kV·A,,台班,0.1,0.1,,,3,,,,
1B-14,叉式装载机装载质量5t,,台班,0.2,0.4,,,3,,,,
1B-14,汽车式起重机提升质量8t,,台班,0.2,0.4,,,3,,,,
1B-14,载重汽车装载质量8t,,台班,0,0.3,,,3,,,,
1B-15,综合用工二类,,工日,8.468,15.522,,,1,,,,
1B-15,木板,,m3,0.015,0.03,,,2,,,,
1B-15,道木,,m3,0.03,0.041,,,2,,,,
1B-15,水泥32.5,,kg,173,341,,,2,,,,
1B-15,砂子,,m3,0.294,0.579,,,2,,,,
1B-15,碎石,,m3,0.321,0.63,,,2,,,,
1B-15,塑料布,,kg,1.68,2.79,,,2,,,,
1B-15,聚酯乙烯泡沫塑料,,kg,0.143,0.165,,,2,,,,
1B-15,电焊条结422Φ4,,kg,0.242,0.326,,,2,,,,
1B-15,铅油,,kg,0.05,0.05,,,2,,,,
1B-15,白漆,,kg,0.08,0.1,,,2,,,,
1B-15,煤油,,kg,3.32,3.96,,,2,,,,
1B-15,柴油,,kg,31.08,55.8,,,2,,,,
1B-15,机油综合,,kg,0.586,0.667,,,2,,,,
1B-15,黄油钙基脂,,kg,0.202,0.202,,,2,,,,
1B-15,镀锌铁丝8#~12#,,kg,2,4,,,2,,,,
1B-15,水,,m3,3.06,6.04,,,2,,,,
1B-15,平垫铁Q195~Q2351#,,kg,4.064,6.096,,,2,,,,
1B-15,斜垫铁Q195~Q235#1,,kg,4.176,6.264,,,2,,,,
1B-15,棉纱头,,kg,0.56,0.75,,,2,,,,
1B-15,白布,,m,0.27,0.46,,,2,,,,
1B-15,破布一级,,kg,0.77,1.05,,,2,,,,
1B-15,草袋,,条,1.5,3,,,2,,,,
1B-15,铁钉<φ5,,kg,0.034,0.067,,,2,,,,
1B-15,其他材料,,%,3,3,,,2,,,,
1B-15,交流电焊机21kV·A,,台班,0.1,0.2,,,3,,,,
1B-15,叉式装载机装载质量5t,,台班,0.2,0.4,,,3,,,,
1B-15,载重汽车装载质量8t,,台班,0,0.5,,,3,,,,
1B-15,汽车式起重机提升质量16t,,台班,0,0.3,,,3,,,,
1B-16,综合用工二类,,工日,8.468,18.3,,,1,,,,
1B-16,木板,,m3,0.015,0.038,,,2,,,,
1B-16,道木,,m3,0.03,0.062,,,2,,,,
1B-16,水泥32.5,,kg,173,407,,,2,,,,
1B-16,砂子,,m3,0.294,0.694,,,2,,,,
1B-16,碎石,,m3,0.321,0.756,,,2,,,,
1B-16,塑料布,,kg,1.68,2.79,,,2,,,,
1B-16,聚酯乙烯泡沫塑料,,kg,0.143,0.176,,,2,,,,
1B-16,电焊条结422Φ4,,kg,0.242,0.41,,,2,,,,
1B-16,铅油,,kg,0.05,0.05,,,2,,,,
1B-16,白漆,,kg,0.08,0.1,,,2,,,,
1B-16,煤油,,kg,3.32,4.22,,,2,,,,
1B-16,柴油,,kg,31.08,65.4,,,2,,,,
1B-16,机油综合,,kg,0.586,0.707,,,2,,,,
1B-16,黄油钙基脂,,kg,0.202,0.303,,,2,,,,
1B-16,镀锌铁丝8#~12#,,kg,2,4,,,2,,,,
1B-16,水,,m3,3.06,7.22,,,2,,,,
1B-16,棉纱头,,kg,0.56,0.77,,,2,,,,
1B-16,白布,,m,0.27,0.54,,,2,,,,
1B-16,破布一级,,kg,0.77,1.13,,,2,,,,
1B-16,草袋,,条,1.5,4,,,2,,,,
1B-16,铁钉<φ5,,kg,0.034,0.08,,,2,,,,
1B-16,平垫铁Q195~Q2352#,,kg,0,13.552,,,2,,,,
1B-16,斜垫铁Q195~Q235#2,,kg,0,12.978,,,2,,,,
1B-16,其他材料,,%,3,3,,,2,,,,
1B-16,交流电焊机21kV·A,,台班,0.1,0.5,,,3,,,,
1B-16,载重汽车装载质量8t,,台班,0,0.5,,,3,,,,
1B-16,汽车式起重机提升质量16t,,台班,0,0.4,,,3,,,,
1B-16,电动单筒慢速卷扬机牵引力50kN,,台班,0,1.5,,,3,,,,
1B-17,综合用工二类,,工日,8.468,43.663,,,1,,,,
1B-17,木板,,m3,0.015,0.084,,,2,,,,
1B-17,道木,,m3,0.03,0.087,,,2,,,,
1B-17,水泥32.5,,kg,173,687,,,2,,,,
1B-17,砂子,,m3,0.294,1.168,,,2,,,,
1B-17,碎石,,m3,0.321,1.272,,,2,,,,
1B-17,塑料布,,kg,1.68,4.41,,,2,,,,
1B-17,聚酯乙烯泡沫塑料,,kg,0.143,0.22,,,2,,,,
1B-17,电焊条结422Φ4,,kg,0.242,1.04,,,2,,,,
1B-17,铅油,,kg,0.05,0.05,,,2,,,,
1B-17,白漆,,kg,0.08,0.1,,,2,,,,
1B-17,煤油,,kg,3.32,6.4,,,2,,,,
1B-17,柴油,,kg,31.08,98.5,,,2,,,,
1B-17,机油综合,,kg,0.586,22.018,,,2,,,,
1B-17,黄油钙基脂,,kg,0.202,0.303,,,2,,,,
1B-17,镀锌铁丝8#~12#,,kg,2,4,,,2,,,,
1B-17,水,,m3,3.06,12.17,,,2,,,,
1B-17,平垫铁Q195~Q2351#,,kg,4.064,5.08,,,2,,,,
1B-17,棉纱头,,kg,0.56,1,,,2,,,,
1B-17,白布,,m,0.27,1.84,,,2,,,,
1B-17,破布一级,,kg,0.77,2.05,,,2,,,,
1B-17,草袋,,条,1.5,6.5,,,2,,,,
1B-17,铁钉<φ5,,kg,0.034,0.135,,,2,,,,
1B-17,平垫铁Q195~Q2352#,,kg,0,13.552,,,2,,,,
1B-17,斜垫铁Q195~Q235#2,,kg,0,12.978,,,2,,,,
1B-17,橡胶板δ4~10,,kg,0,0.1,,,2,,,,
1B-17,铅粉石棉绳Φ6,,kg,0,0.25,,,2,,,,
1B-17,汽油,,kg,0,0.204,,,2,,,,
1B-17,重铬酸钾98%,,kg,0,5.25,,,2,,,,
1B-17,麻丝,,kg,0,0.1,,,2,,,,
1B-17,煤块,,t,0,0.08,,,2,,,,
1B-17,木柴,,kg,0,17.5,,,2,,,,
1B-17,其他材料,,%,3,3,,,2,,,,
1B-17,交流电焊机21kV·A,,台班,0.1,0.5,,,3,,,,
1B-17,载重汽车装载质量8t,,台班,0,0.5,,,3,,,,
1B-17,电动单筒慢速卷扬机牵引力50kN,,台班,0,3.14,,,3,,,,
1B-17,汽车式起重机提升质量25t,,台班,0,0.5,,,3,,,,
1B-18,综合用工二类,,工日,2.502,2.502,,,1,,,,
1B-18,棉纱,,kg,0.21,0.21,,,2,,,,
1B-18,煤油,,kg,0.42,0.42,,,2,,,,
1B-18,载重汽车装载质量5t,,台班,0.146,0.146,,,3,,,,
1B-18,汽车式起重机提升质量8t,,台班,0.073,0.073,,,3,,,,
1B-18,电动单筒快速卷扬机牵引力10kN,,台班,0.098,0.098,,,3,,,,
1B-19,综合用工二类,,工日,2.502,4.558,,,1,,,,
1B-19,棉纱,,kg,0.21,0.41,,,2,,,,
1B-19,煤油,,kg,0.42,0.81,,,2,,,,
1B-19,载重汽车装载质量5t,,台班,0.146,0.146,,,3,,,,
1B-19,汽车式起重机提升质量8t,,台班,0.073,0.073,,,3,,,,
1B-19,电动单筒快速卷扬机牵引力10kN,,台班,0.098,0.196,,,3,,,,
1B-20,综合用工二类,,工日,2.502,7.805,,,1,,,,
1B-20,棉纱,,kg,0.21,0.73,,,2,,,,
1B-20,煤油,,kg,0.42,1.46,,,2,,,,
1B-20,载重汽车装载质量5t,,台班,0.146,0.292,,,3,,,,
1B-20,汽车式起重机提升质量8t,,台班,0.073,0.209,,,3,,,,
1B-20,电动单筒快速卷扬机牵引力10kN,,台班,0.098,0.196,,,3,,,,
1B-21,综合用工二类,,工日,16.815,16.815,,,1,,,,
1B-21,棉纱,,kg,1.19,1.19,,,2,,,,
1B-21,煤油,,kg,2.39,2.39,,,2,,,,
1B-21,载重汽车装载质量5t,,台班,0.292,0.292,,,3,,,,
1B-21,汽车式起重机提升质量8t,,台班,0.251,0.251,,,3,,,,
1B-21,电动单筒快速卷扬机牵引力10kN,,台班,0.183,0.183,,,3,,,,
1B-21,电动单筒慢速卷扬机牵引力30kN,,台班,0.06,0.06,,,3,,,,
1B-22,综合用工二类,,工日,16.815,23.742,,,1,,,,
1B-22,棉纱,,kg,1.19,1.6,,,2,,,,
1B-22,煤油,,kg,2.39,3.2,,,2,,,,
1B-22,载重汽车装载质量5t,,台班,0.292,0.292,,,3,,,,
1B-22,汽车式起重机提升质量8t,,台班,0.251,0.304,,,3,,,,
1B-22,电动单筒快速卷扬机牵引力10kN,,台班,0.183,0.17,,,3,,,,
1B-22,电动单筒慢速卷扬机牵引力30kN,,台班,0.06,0.12,,,3,,,,
1B-23,综合用工二类,,工日,16.815,40.147,,,1,,,,
1B-23,棉纱,,kg,1.19,2.42,,,2,,,,
1B-23,煤油,,kg,2.39,4.83,,,2,,,,
1B-23,载重汽车装载质量5t,,台班,0.292,0.375,,,3,,,,
1B-23,汽车式起重机提升质量8t,,台班,0.251,0.392,,,3,,,,
1B-23,电动单筒快速卷扬机牵引力10kN,,台班,0.183,0.17,,,3,,,,
1B-23,电动单筒慢速卷扬机牵引力30kN,,台班,0.06,0.3,,,3,,,,
1B-24,综合用工二类,,工日,56.215,56.215,,,1,,,,
1B-24,棉纱,,kg,4.21,4.21,,,2,,,,
1B-24,煤油,,kg,8.42,8.42,,,2,,,,
1B-24,载重汽车装载质量5t,,台班,0.375,0.375,,,3,,,,
1B-24,汽车式起重机提升质量8t,,台班,0.416,0.416,,,3,,,,
1B-24,电动单筒快速卷扬机牵引力10kN,,台班,0.17,0.17,,,3,,,,
1B-24,电动单筒慢速卷扬机牵引力30kN,,台班,0.3,0.3,,,3,,,,
1B-25,综合用工二类,,工日,56.215,71.295,,,1,,,,
1B-25,棉纱,,kg,4.21,5.16,,,2,,,,
1B-25,煤油,,kg,8.42,10.33,,,2,,,,
1B-25,载重汽车装载质量5t,,台班,0.375,0.375,,,3,,,,
1B-25,汽车式起重机提升质量8t,,台班,0.416,0.451,,,3,,,,
1B-25,电动单筒快速卷扬机牵引力10kN,,台班,0.17,0.157,,,3,,,,
1B-25,电动单筒慢速卷扬机牵引力30kN,,台班,0.3,0.06,,,3,,,,
1B-25,电动单筒慢速卷扬机牵引力50kN,,台班,0,0.3,,,3,,,,
1B-26,综合用工二类,,工日,0.765,0.765,,,1,,,,
1B-26,圆钢综合,,kg,1.66,1.66,,,2,,,,
1B-26,槽钢5#~16#,,kg,14.84,14.84,,,2,,,,
1B-26,垫圈M2~8,,10个,0.848,0.848,,,2,,,,
1B-26,弹簧垫圈M2~10,,10个,0.848,0.848,,,2,,,,
1B-26,膨胀螺栓M10,,10套,0.416,0.416,,,2,,,,
1B-26,六角螺母M8,,10个,0.848,0.848,,,2,,,,
1B-26,橡胶板δ5~10,,kg,0.29,0.29,,,2,,,,
1B-26,棉纱,,kg,0.05,0.05,,,2,,,,
1B-27,综合用工二类,,工日,0.765,0.84,,,1,,,,
1B-27,圆钢综合,,kg,1.66,1.66,,,2,,,,
1B-27,槽钢5#~16#,,kg,14.84,14.84,,,2,,,,
1B-27,垫圈M2~8,,10个,0.848,0.848,,,2,,,,
1B-27,弹簧垫圈M2~10,,10个,0.848,0.848,,,2,,,,
1B-27,膨胀螺栓M10,,10套,0.416,0.416,,,2,,,,
1B-27,六角螺母M8,,10个,0.848,0.848,,,2,,,,
1B-27,橡胶板δ5~10,,kg,0.29,0.29,,,2,,,,
1B-27,棉纱,,kg,0.05,0.05,,,2,,,,
1B-28,综合用工二类,,工日,6.615,6.615,,,1,,,,
1B-28,低碳钢焊条J427,,kg,15.62,15.62,,,2,,,,
1B-28,氧气,,m3,5.449,5.449,,,2,,,,
1B-28,乙炔气,,kg,1.816,1.816,,,2,,,,
1B-28,尼龙砂轮片Φ150,,片,4.284,4.284,,,2,,,,
1B-28,木方,,m3,0.014,0.014,,,2,,,,
1B-28,煤油,,kg,1.197,1.197,,,2,,,,
1B-28,白垩,,kg,0.979,0.979,,,2,,,,
1B-28,碳精棒Φ8~12,,根,11.59,11.59,,,2,,,,
1B-28,直流弧焊机容量32kV·A,,台班,3.894,3.894,,,3,,,,
1B-28,半自动切割机厚度100mm,,台班,0.162,0.162,,,3,,,,
1B-28,剪板机厚度×宽度20×2500mm,,台班,0.019,0.019,,,3,,,,
1B-28,卷板机板厚×宽度30×2000mm,,台班,0.038,0.038,,,3,,,,
1B-28,汽车式起重机提升质量16t,,台班,0.647,0.647,,,3,,,,
1B-28,载重汽车装载质量10t,,台班,0.219,0.219,,,3,,,,
1B-28,真空泵抽气速度204m3/h,,台班,0.057,0.057,,,3,,,,
1B-28,电动空气压缩机排气量6m3/min,,台班,0.524,0.524,,,3,,,,
1B-28,轴流通风机功率30kW,,台班,0.409,0.409,,,3,,,,
1B-29,综合用工二类,,工日,6.615,5.525,,,1,,,,
1B-29,低碳钢焊条J427,,kg,15.62,16.856,,,2,,,,
1B-29,氧气,,m3,5.449,5.188,,,2,,,,
1B-29,乙炔气,,kg,1.816,1.729,,,2,,,,
1B-29,尼龙砂轮片Φ150,,片,4.284,3.82,,,2,,,,
1B-29,木方,,m3,0.014,0.014,,,2,,,,
1B-29,煤油,,kg,1.197,1.074,,,2,,,,
1B-29,白垩,,kg,0.979,0.855,,,2,,,,
1B-29,碳精棒Φ8~12,,根,11.59,10.26,,,2,,,,
1B-29,直流弧焊机容量32kV·A,,台班,3.894,3.608,,,3,,,,
1B-29,半自动切割机厚度100mm,,台班,0.162,0.164,,,3,,,,
1B-29,剪板机厚度×宽度20×2500mm,,台班,0.019,0.007,,,3,,,,
1B-29,卷板机板厚×宽度30×2000mm,,台班,0.038,0.038,,,3,,,,
1B-29,汽车式起重机提升质量16t,,台班,0.647,0.578,,,3,,,,
1B-29,载重汽车装载质量10t,,台班,0.219,0.219,,,3,,,,
1B-29,真空泵抽气速度204m3/h,,台班,0.057,0.054,,,3,,,,
1B-29,电动空气压缩机排气量6m3/min,,台班,0.524,0.495,,,3,,,,
1B-29,轴流通风机功率30kW,,台班,0.409,0.381,,,3,,,,
1B-30,综合用工二类,,工日,6.615,4.885,,,1,,,,
1B-30,低碳钢焊条J427,,kg,15.62,16.755,,,2,,,,
1B-30,氧气,,m3,5.449,5.106,,,2,,,,
1B-30,乙炔气,,kg,1.816,1.702,,,2,,,,
1B-30,尼龙砂轮片Φ150,,片,4.284,3.82,,,2,,,,
1B-30,木方,,m3,0.014,0.014,,,2,,,,
1B-30,煤油,,kg,1.197,0.893,,,2,,,,
1B-30,白垩,,kg,0.979,0.713,,,2,,,,
1B-30,碳精棒Φ8~12,,根,11.59,9.405,,,2,,,,
1B-30,直流弧焊机容量32kV·A,,台班,3.894,3.363,,,3,,,,
1B-30,半自动切割机厚度100mm,,台班,0.162,0.129,,,3,,,,
1B-30,剪板机厚度×宽度20×2500mm,,台班,0.019,0.007,,,3,,,,
1B-30,卷板机板厚×宽度30×2000mm,,台班,0.038,0.038,,,3,,,,
1B-30,汽车式起重机提升质量16t,,台班,0.647,0.538,,,3,,,,
1B-30,载重汽车装载质量10t,,台班,0.219,0.219,,,3,,,,
1B-30,真空泵抽气速度204m3/h,,台班,0.057,0.05,,,3,,,,
1B-30,电动空气压缩机排气量6m3/min,,台班,0.524,0.447,,,3,,,,
1B-30,轴流通风机功率30kW,,台班,0.409,0.352,,,3,,,,
1B-31,综合用工二类,,工日,4.21,4.21,,,1,,,,
1B-31,低碳钢焊条J427,,kg,16.625,16.625,,,2,,,,
1B-31,氧气,,m3,4.99,4.99,,,2,,,,
1B-31,乙炔气,,kg,1.663,1.663,,,2,,,,
1B-31,尼龙砂轮片Φ150,,片,3.715,3.715,,,2,,,,
1B-31,木方,,m3,0.012,0.012,,,2,,,,
1B-31,煤油,,kg,0.817,0.817,,,2,,,,
1B-31,白垩,,kg,0.656,0.656,,,2,,,,
1B-31,碳精棒Φ8~12,,根,8.265,8.265,,,2,,,,
1B-31,直流弧焊机容量32kV·A,,台班,2.654,2.654,,,3,,,,
1B-31,半自动切割机厚度100mm,,台班,0.129,0.129,,,3,,,,
1B-31,剪板机厚度×宽度20×2500mm,,台班,0.007,0.007,,,3,,,,
1B-31,卷板机板厚×宽度30×2000mm,,台班,0.029,0.029,,,3,,,,
1B-31,汽车式起重机提升质量16t,,台班,0.396,0.396,,,3,,,,
1B-31,载重汽车装载质量10t,,台班,0.209,0.209,,,3,,,,
1B-31,真空泵抽气速度204m3/h,,台班,0.043,0.043,,,3,,,,
1B-31,电动空气压缩机排气量6m3/min,,台班,0.4,0.4,,,3,,,,
1B-31,轴流通风机功率30kW,,台班,0.305,0.305,,,3,,,,
1B-32,综合用工二类,,工日,4.21,3.595,,,1,,,,
1B-32,低碳钢焊条J427,,kg,16.625,12.051,,,2,,,,
1B-32,氧气,,m3,4.99,4.586,,,2,,,,
1B-32,乙炔气,,kg,1.663,1.627,,,2,,,,
1B-32,尼龙砂轮片Φ150,,片,3.715,3.7,,,2,,,,
1B-32,木方,,m3,0.012,0.012,,,2,,,,
1B-32,煤油,,kg,0.817,0.551,,,2,,,,
1B-32,白垩,,kg,0.656,0.447,,,2,,,,
1B-32,碳精棒Φ8~12,,根,8.265,7.125,,,2,,,,
1B-32,低碳钢焊条结507Φ3.2,,kg,0,6.443,,,2,,,,
1B-32,直流弧焊机容量32kV·A,,台班,2.654,2.499,,,3,,,,
1B-32,半自动切割机厚度100mm,,台班,0.129,0.129,,,3,,,,
1B-32,剪板机厚度×宽度20×2500mm,,台班,0.007,0.007,,,3,,,,
1B-32,卷板机板厚×宽度30×2000mm,,台班,0.029,0.019,,,3,,,,
1B-32,汽车式起重机提升质量16t,,台班,0.396,0.345,,,3,,,,
1B-32,载重汽车装载质量10t,,台班,0.209,0.209,,,3,,,,
1B-32,真空泵抽气速度204m3/h,,台班,0.043,0.036,,,3,,,,
1B-32,电动空气压缩机排气量6m3/min,,台班,0.4,0.333,,,3,,,,
1B-32,轴流通风机功率30kW,,台班,0.305,0.286,,,3,,,,
1B-33,综合用工二类,,工日,4.21,2.958,,,1,,,,
1B-33,低碳钢焊条J427,,kg,16.625,11.536,,,2,,,,
1B-33,氧气,,m3,4.99,4.04,,,2,,,,
